timestamp,image_name,exif_image_width,exif_image_height,labels,latitude,latitude_ref,longitude,longitude_ref,altitude,altitude_ref,speed
2024-08-18 17:37:25,2024_08_18_17_37_25_601_-0400_1280x1280.left-region.jpg,1280,1280,zona-escolar,-17.4289866,S,-66.1595642,W,2596.5,b'\x00',27.8943
2024-08-18 17:40:54,2024_08_18_17_40_54_602_-0400_1280x1280.left-region.jpg,1280,1280,"zona-escolar,prohibido-girar-izquierda",-17.4170963,S,-66.1572259,W,2600.3,b'\x00',34.4967
2024-08-18 17:40:55,2024_08_18_17_40_55_571_-0400_1280x1280.left-region.jpg,1280,1280,"prohibido-girar-izquierda,zona-escolar",-17.4170173,S,-66.1572136,W,2600.3,b'\x00',27.9167
2024-08-18 17:40:57,2024_08_18_17_40_57_532_-0400_1280x1280.left-region.jpg,1280,1280,prohibido-girar-izquierda,-17.416900400000003,S,-66.1571911,W,2600.3,b'\x00',16.9381
2024-08-18 17:42:10,2024_08_18_17_42_10_543_-0400_1280x1280.right-region.jpg,1280,1280,limite-velocidad-40,-17.412288099999998,S,-66.1563606,W,2599.3,b'\x00',31.8807
2024-08-18 17:42:27,2024_08_18_17_42_27_608_-0400 (20 Km)_1280x1280.left-region.jpg,1280,1280,limite-velocidad-20,-17.411066899999998,S,-66.1560297,W,2599.3,b'\x00',30.3273
2024-08-18 17:42:27,2024_08_18_17_42_27_608_-0400_1280x1280.left-region.jpg,1280,1280,limite-velocidad-20,-17.411066899999998,S,-66.1560297,W,2599.3,b'\x00',30.3273
2024-08-18 19:03:56,2024_08_18_19_03_56_772_-0400_1280x1280.left-region.jpg,1280,1280,zona-escolar,-17.3858383,S,-66.1590355,W,2608.2001,b'\x00',16.5803
2024-09-08 17:08:57,2024_09_08_17_08_57_158_-0400_1280x1280.left-region.jpg,1280,1280,"zona-escolar,prohibido-girar-izquierda",-17.4173392,S,-66.15727360000001,W,2599.8,b'\x00',45.7129
2024-09-08 17:08:59,2024_09_08_17_08_59_088_-0400_1280x1280.left-region.jpg,1280,1280,"zona-escolar,prohibido-girar-izquierda",-17.4171072,S,-66.1572302,W,2599.8,b'\x00',45.5892
2024-09-08 17:09:00,2024_09_08_17_09_00_186_-0400_1280x1280.left-region.jpg,1280,1280,prohibido-girar-izquierda,-17.4169923,S,-66.15721520000001,W,2599.8,b'\x00',46.2497
2024-09-08 17:09:38,2024_09_08_17_09_38_160_-0400_1280x1280.right-region.jpg,1280,1280,limite-velocidad-40,-17.4126458,S,-66.15642290000001,W,2599.8,b'\x00',44.953
2024-09-08 17:09:39,2024_09_08_17_09_39_160_-0400_1280x1280.right-region.jpg,1280,1280,limite-velocidad-40,-17.41254,S,-66.15640110000001,W,2599.8,b'\x00',44.3216
2024-09-08 17:09:40,2024_09_08_17_09_40_206_-0400_1280x1280.right-region.jpg,1280,1280,limite-velocidad-40,-17.412443399999997,S,-66.1563845,W,2599.8,b'\x00',43.1479
2024-09-08 17:09:41,2024_09_08_17_09_41_174_-0400_1280x1280.right-region.jpg,1280,1280,limite-velocidad-40,-17.4123612,S,-66.1563723,W,2599.8,b'\x00',39.6541
2024-09-08 17:15:36,2024_09_08_17_15_36_145_-0400_1280x1280.left-region.jpg,1280,1280,prohibido-girar-izquierda,-17.3980715,S,-66.15789290000001,W,2604.8,b'\x00',25.6329
2024-09-08 17:16:22,2024_09_08_17_16_22_136_-0400_1280x1280.left-region.jpg,1280,1280,prohibido-girar-izquierda,-17.3959387,S,-66.15825530000001,W,2605.2001,b'\x00',27.9796
2024-09-08 17:16:24,2024_09_08_17_16_24_168_-0400_1280x1280.left-region.jpg,1280,1280,prohibido-girar-izquierda,-17.395798199999998,S,-66.1582772,W,2605.2001,b'\x00',27.4987
2024-09-08 17:16:57,2024_09_08_17_16_57_190_-0400_1280x1280.left-region.jpg,1280,1280,prohibido-girar-izquierda,-17.3938069,S,-66.1586429,W,2606.4001,b'\x00',32.8767
2024-09-08 17:18:07,2024_09_08_17_18_07_103_-0400_1280x1280.left-region.jpg,1280,1280,prohibido-girar-izquierda,-17.3906865,S,-66.15928260000001,W,2605.8,b'\x00',31.7427
2024-09-08 17:25:07,2024_09_08_17_25_07_113_-0400_1280x1280.right-region.jpg,1280,1280,zona-escolar,-17.3741967,S,-66.16211960000001,W,2610.6,b'\x00',37.4791
2024-09-08 17:25:08,2024_09_08_17_25_08_167_-0400_1280x1280.right-region.jpg,1280,1280,zona-escolar,-17.3741068,S,-66.1621485,W,2610.6,b'\x00',36.2623
2024-09-08 17:27:55,2024_09_08_17_27_55_195_-0400_1280x1280.left-region.jpg,1280,1280,zona-escolar,-17.3725295,S,-66.1626926,W,2617.2001,b'\x00',25.4884
2024-09-08 17:27:56,2024_09_08_17_27_56_162_-0400_1280x1280.left-region.jpg,1280,1280,zona-escolar,-17.3725905,S,-66.1626727,W,2617.2001,b'\x00',25.6835
2024-09-08 17:27:58,2024_09_08_17_27_58_123_-0400_1280x1280.left-region.jpg,1280,1280,zona-escolar,-17.3727203,S,-66.16263400000001,W,2617.2001,b'\x00',27.4056
